skills,skill_count,avg_salary
go,27,115320
confluence,11,114210
hadoop,22,113193
snowflake,37,112948
azure,34,111225
bigquery,13,109654
aws,32,108317
java,17,106906
ssis,12,106683
jira,20,104918
oracle,37,104534
looker,49,103795
nosql,13,101414
python,236,101397
r,148,100499
redshift,16,99936
qlik,13,99631
tableau,230,99288
ssrs,14,99171
spark,13,99077
c++,11,98958
sas,126,98902
sql server,35,97786
javascript,20,97587
power bi,110,97431
sql,398,97237
flow,28,97200
alteryx,17,94145
spss,24,92170
outlook,13,90077
vba,24,88783
powerpoint,58,88701
excel,256,87288
sheets,32,86088
word,48,82576
sharepoint,18,81634